pulled_at_utc,station_id,station_name,river,level_cm,level_measured_at,flow_cms,flow_measured_at,temp_c,temp_measured_at
2026-06-18 08:03:05,149220060,Lesko,San,172,2026-06-18 07:30:00,15.2,2026-06-18 07:30:00,,
2026-06-18 10:02:06,149200160,Krościenko,Dunajec,193,2026-06-18 09:20:00,31.9,2026-06-18 09:30:00,11.5,2026-06-17 06:00:00
2026-06-18 10:02:06,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.3,2026-06-17 06:00:00
2026-06-18 10:02:06,149200190,Gołkowice,Dunajec,164,2026-06-18 09:30:00,35,2026-06-18 09:30:00,,
2026-06-18 10:02:06,149220060,Lesko,San,172,2026-06-18 09:30:00,15.2,2026-06-18 09:30:00,,
2026-06-18 12:01:05,149200160,Krościenko,Dunajec,192,2026-06-18 11:20:00,30.8,2026-06-18 11:30:00,11,2026-06-18 06:00:00
2026-06-18 12:01:05,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-18 12:01:05,149200190,Gołkowice,Dunajec,164,2026-06-18 11:30:00,35,2026-06-18 11:30:00,,
2026-06-18 12:01:05,149220060,Lesko,San,172,2026-06-18 11:30:00,15.2,2026-06-18 11:30:00,,
2026-06-18 14:02:09,149200160,Krościenko,Dunajec,192,2026-06-18 13:20:00,30.8,2026-06-18 13:30:00,11,2026-06-18 06:00:00
2026-06-18 14:02:09,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-18 14:02:09,149200190,Gołkowice,Dunajec,164,2026-06-18 13:30:00,35,2026-06-18 13:30:00,,
2026-06-18 14:02:09,149220060,Lesko,San,172,2026-06-18 13:30:00,15.2,2026-06-18 13:30:00,,
2026-06-18 16:02:21,149200160,Krościenko,Dunajec,192,2026-06-18 15:20:00,29.8,2026-06-18 15:30:00,11,2026-06-18 06:00:00
2026-06-18 16:02:21,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-18 16:02:21,149200190,Gołkowice,Dunajec,164,2026-06-18 15:30:00,35,2026-06-18 15:30:00,,
2026-06-18 16:02:21,149220060,Lesko,San,172,2026-06-18 15:30:00,15.2,2026-06-18 15:30:00,,
2026-06-18 18:02:09,149200160,Krościenko,Dunajec,192,2026-06-18 17:20:00,29.8,2026-06-18 17:30:00,11,2026-06-18 06:00:00
2026-06-18 18:02:09,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-18 18:02:09,149200190,Gołkowice,Dunajec,164,2026-06-18 17:30:00,35,2026-06-18 17:30:00,,
2026-06-18 18:02:09,149220060,Lesko,San,172,2026-06-18 17:30:00,15.2,2026-06-18 17:30:00,,
2026-06-18 20:02:30,149200160,Krościenko,Dunajec,183,2026-06-18 19:20:00,22.9,2026-06-18 19:30:00,11,2026-06-18 06:00:00
2026-06-18 20:02:30,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-18 20:02:30,149200190,Gołkowice,Dunajec,163,2026-06-18 19:30:00,34,2026-06-18 19:30:00,,
2026-06-18 20:02:30,149220060,Lesko,San,172,2026-06-18 19:30:00,15.2,2026-06-18 19:30:00,,
2026-06-18 22:02:26,149200160,Krościenko,Dunajec,183,2026-06-18 21:20:00,22.9,2026-06-18 21:30:00,11,2026-06-18 06:00:00
2026-06-18 22:02:26,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-18 22:02:26,149200190,Gołkowice,Dunajec,162,2026-06-18 21:30:00,33,2026-06-18 21:30:00,,
2026-06-18 22:02:26,149220060,Lesko,San,172,2026-06-18 21:30:00,15.2,2026-06-18 21:30:00,,
2026-06-19 00:01:08,149200160,Krościenko,Dunajec,184,2026-06-18 23:20:00,23.7,2026-06-18 23:30:00,11,2026-06-18 06:00:00
2026-06-19 00:01:08,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-19 00:01:08,149200190,Gołkowice,Dunajec,161,2026-06-18 23:30:00,32,2026-06-18 23:30:00,,
2026-06-19 00:01:08,149220060,Lesko,San,172,2026-06-18 23:30:00,15.2,2026-06-18 23:30:00,,
2026-06-19 02:01:01,149200160,Krościenko,Dunajec,185,2026-06-19 01:20:00,24.5,2026-06-19 01:30:00,11,2026-06-18 06:00:00
2026-06-19 02:01:01,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-19 02:01:01,149200190,Gołkowice,Dunajec,154,2026-06-19 01:30:00,25.6,2026-06-19 01:30:00,,
2026-06-19 02:01:01,149220060,Lesko,San,171,2026-06-19 01:30:00,14.2,2026-06-19 01:30:00,,
2026-06-19 04:01:49,149200160,Krościenko,Dunajec,185,2026-06-19 03:20:00,24.5,2026-06-19 03:30:00,11,2026-06-18 06:00:00
2026-06-19 04:01:49,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-19 04:01:49,149200190,Gołkowice,Dunajec,154,2026-06-19 03:30:00,25.6,2026-06-19 03:30:00,,
2026-06-19 04:01:49,149220060,Lesko,San,171,2026-06-19 03:30:00,14.2,2026-06-19 03:30:00,,
2026-06-19 06:01:20,149200160,Krościenko,Dunajec,185,2026-06-19 05:20:00,24.5,2026-06-19 05:30:00,11,2026-06-18 06:00:00
2026-06-19 06:01:20,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,11.4,2026-06-18 06:00:00
2026-06-19 06:01:20,149200190,Gołkowice,Dunajec,155,2026-06-19 05:30:00,26.5,2026-06-19 05:30:00,,
2026-06-19 06:01:20,149220060,Lesko,San,171,2026-06-19 05:30:00,14.2,2026-06-19 05:30:00,,
